docid,source_url,normalized_source_url,source_domain,raw_act_path,raw_text_sha256,has_raw,has_structure,processing_status,index_policy,main_site_fit,court_system,court_level,region,court_name,case_number,decision_date,dispute_type_code,claim_type_codes
ZKB1oIPWhlmv,https://sudact.ru/regular/doc/ZKB1oIPWhlmv/,https://sudact.ru/regular/doc/ZKB1oIPWhlmv,sudact.ru,data/ddu/raw_acts/act_ZKB1oIPWhlmv.txt,47762bb2f83097d15c28b94202a936b8730c94270b970629243b51d4f773d277,true,true,complete,hold,false,general_jurisdiction,,,,,,ddu_non_target_hold,hold
ZLpGEgO2P1rw,https://sudact.ru/regular/doc/ZLpGEgO2P1rw/,https://sudact.ru/regular/doc/ZLpGEgO2P1rw,sudact.ru,data/ddu/raw_acts/act_ZLpGEgO2P1rw.txt,fe1e07995da6132f0e80dbe9459414c473af7922f6c0cb124d7e76023c8a76fe,true,true,complete,hold,false,general_jurisdiction,,,,,,ddu_non_target_hold,hold
ZtbkzNXofEly,https://sudact.ru/regular/doc/ZtbkzNXofEly/,https://sudact.ru/regular/doc/ZtbkzNXofEly,sudact.ru,data/ddu/raw_acts/act_ZtbkzNXofEly.txt,ecd71579494f23dedd500b319c989206294d5b6a2b4bb494862adb281156b6f0,true,true,complete,hold,false,general_jurisdiction,,,,2-1155/2020,,ddu_manual_review_hold,hold
b1z2z3JE6kVl,https://sudact.ru/regular/doc/b1z2z3JE6kVl/,https://sudact.ru/regular/doc/b1z2z3JE6kVl,sudact.ru,data/ddu/raw_acts/act_b1z2z3JE6kVl.txt,0c626afdaf775c6807ed989233100ef41c75201a238ebe1b6ff70043d0ffd8ed,true,true,complete,index,true,general_jurisdiction,district,Республика Татарстан,Кировский районный суд города Казани,2-1066/2025,2025-12-19,ddu_quality_defects_art7,repair_expenses;penalty;moral_damage;consumer_fine;expenses
bPUuc9vT5d65,https://sudact.ru/regular/doc/bPUuc9vT5d65/,https://sudact.ru/regular/doc/bPUuc9vT5d65,sudact.ru,data/ddu/raw_acts/act_bPUuc9vT5d65.txt,9ed15476b78dfdfefbdd2c3239966d2799d08a64ff667fb0f387f2eedf44cb5c,true,true,complete,hold,false,general_jurisdiction,,,,,,ddu_non_target_hold,hold
bcLaiPTgOjJu,https://sudact.ru/regular/doc/bcLaiPTgOjJu/,https://sudact.ru/regular/doc/bcLaiPTgOjJu,sudact.ru,data/ddu/raw_acts/act_bcLaiPTgOjJu.txt,14e0ededc97adaeaf06e9c3bab939b9c7f2e6e1a25d3f6bce9a99a27ccfb397a,true,true,complete,index,true,general_jurisdiction,district,Ростовская область,Ленинский районный суд г. Ростова-на-Дону,2-1424/2019,2019-05-13,ddu_delay_penalty_art6,penalty;moral_damage;consumer_fine
czgQ9u1UWPHD,https://sudact.ru/regular/doc/czgQ9u1UWPHD/,https://sudact.ru/regular/doc/czgQ9u1UWPHD,sudact.ru,data/ddu/raw_acts/act_czgQ9u1UWPHD.txt,9ba93591e93c893caef018b7922905d5c032cda79ae22a54ee025247399ffa69,true,true,complete,hold,false,general_jurisdiction,,,,,,ddu_non_target_hold,hold
dS0HZaw7iwxx,https://sudact.ru/regular/doc/dS0HZaw7iwxx/,https://sudact.ru/regular/doc/dS0HZaw7iwxx,sudact.ru,data/ddu/raw_acts/act_dS0HZaw7iwxx.txt,9746bfa556bc8e11f160cf26e770292e56bb3e5545db20b77f3146bace144030,true,true,complete,index,true,general_jurisdiction,district,Московская область,Железнодорожный городской суд Московской области,2-1445/2023,2023-10-11,ddu_quality_defects_art7,repair_expenses;penalty;moral_damage;consumer_fine;expenses
f327198Gt3Zp,https://sudact.ru/regular/doc/f327198Gt3Zp/,https://sudact.ru/regular/doc/f327198Gt3Zp,sudact.ru,data/ddu/raw_acts/act_f327198Gt3Zp.txt,849aa54d157290d601c651a43d24525737dd7eaf8df51104d6ed3a83494a1e1a,true,true,complete,hold,false,general_jurisdiction,,,,,,ddu_non_target_hold,hold
fAGrVZDBpkWD,https://sudact.ru/regular/doc/fAGrVZDBpkWD/,https://sudact.ru/regular/doc/fAGrVZDBpkWD,sudact.ru,data/ddu/raw_acts/act_fAGrVZDBpkWD.txt,766353bd7b1e2d1ba204d0e7ec0db32538f36e9f29e97a98004c0891972128d3,true,true,complete,index,true,general_jurisdiction,district,Костромская область,Костромской районный суд Костромской области,2-498/2020,2020-07-22,ddu_delay_penalty_art6,penalty;damages;consumer_fine
fd10IOYK1TY6,https://sudact.ru/regular/doc/fd10IOYK1TY6/,https://sudact.ru/regular/doc/fd10IOYK1TY6,sudact.ru,data/ddu/raw_acts/act_fd10IOYK1TY6.txt,4a3638aa378dfae6cb4525d7b7825c764cbd594e81df9159b9b45df05407f181,true,true,complete,hold,false,general_jurisdiction,,,,,,ddu_non_target_hold,hold
fdKv7hoPIiNW,https://sudact.ru/regular/doc/fdKv7hoPIiNW/,https://sudact.ru/regular/doc/fdKv7hoPIiNW,sudact.ru,data/ddu/raw_acts/act_fdKv7hoPIiNW.txt,4cbcbb8ce0096fb0df079d9f3cb8a349e584579049b96acdfde66431137a1d3b,true,true,complete,index,true,general_jurisdiction,district,Красноярский край,Свердловский районный суд г. Красноярска,2-1567/2020,2020-02-13,ddu_delay_penalty_art6,penalty;moral_damage;consumer_fine;expenses
gQJTDalrwsL4,https://sudact.ru/regular/doc/gQJTDalrwsL4/,https://sudact.ru/regular/doc/gQJTDalrwsL4,sudact.ru,data/ddu/raw_acts/act_gQJTDalrwsL4.txt,2cc880c8b54f6a9f2c7f2fa484b88def7c754d1f3b6441fbc3c445c4c9216c53,true,true,complete,hold,false,general_jurisdiction,,,,,,ddu_non_target_hold,hold
h50ZsUwZfl6m,https://sudact.ru/regular/doc/h50ZsUwZfl6m/,https://sudact.ru/regular/doc/h50ZsUwZfl6m,sudact.ru,data/ddu/raw_acts/act_h50ZsUwZfl6m.txt,b677a26578bcd8c19d6d0cb1335204ef2b889557064b2649d02dd610d2fb8c85,true,true,complete,hold,false,general_jurisdiction,,,,,,ddu_non_target_hold,hold
hXJYppVEsNbO,https://sudact.ru/regular/doc/hXJYppVEsNbO/,https://sudact.ru/regular/doc/hXJYppVEsNbO,sudact.ru,data/ddu/raw_acts/act_hXJYppVEsNbO.txt,946138f1d73f9e9c150008244e368885a1db89203d2655162746156f7b6acfc8,true,true,complete,index,true,general_jurisdiction,district,Архангельская область,Северодвинский городской суд Архангельской области,2-1161/2020,2020-02-24,ddu_termination_refund_art9,interest;damages;consumer_fine;expenses
jZyFxy7HJtmp,https://sudact.ru/regular/doc/jZyFxy7HJtmp/,https://sudact.ru/regular/doc/jZyFxy7HJtmp,sudact.ru,data/ddu/raw_acts/act_jZyFxy7HJtmp.txt,fb13d09ae1cbfdad13cbe7f5a58449a99c2f8afa712b327d9ef7277cc10c5e5f,true,true,complete,index,true,general_jurisdiction,district,Воронежская область,Коминтерновский районный суд г. Воронежа,2-5921/2025,2025-12-18,ddu_quality_defects_art7,price_reduction;moral_damage;consumer_fine
mJ8TjG4OypYx,https://sudact.ru/regular/doc/mJ8TjG4OypYx/,https://sudact.ru/regular/doc/mJ8TjG4OypYx,sudact.ru,data/ddu/raw_acts/act_mJ8TjG4OypYx.txt,d82f402e1eea59f0c0d819435c91502a82319f27c2bdc3a896c0637f67e1b791,true,true,complete,index,true,general_jurisdiction,,,,2-1056,2020-01-28,ddu_assignment_rights_art11,contract_termination
nILJLSNW6RxX,https://sudact.ru/regular/doc/nILJLSNW6RxX/,https://sudact.ru/regular/doc/nILJLSNW6RxX,sudact.ru,data/ddu/raw_acts/act_nILJLSNW6RxX.txt,f4437060099111b1e4d7e235a5f648d47ac427d6e7c6ba2ce1b1df6daa018924,true,true,complete,hold,false,general_jurisdiction,,,,,,ddu_non_target_hold,hold
o1v5BtM046oQ,https://sudact.ru/regular/doc/o1v5BtM046oQ/,https://sudact.ru/regular/doc/o1v5BtM046oQ,sudact.ru,data/ddu/raw_acts/act_o1v5BtM046oQ.txt,778fdacad89a6baa06299d11d342fb7d400bcb227b30d49f477ae628bff4b33d,true,true,complete,hold,false,general_jurisdiction,,,,,,ddu_non_target_hold,hold
oMmLsT0xtHbP,https://sudact.ru/regular/doc/oMmLsT0xtHbP/,https://sudact.ru/regular/doc/oMmLsT0xtHbP,sudact.ru,data/ddu/raw_acts/act_oMmLsT0xtHbP.txt,bc2ac8b9198247b52c57c9e1cd8441b8b622457ca5fbb64c87cc0388c8b69c4b,true,true,complete,hold,false,general_jurisdiction,,,,,,ddu_non_target_hold,hold
r6IZzLpOZv18,https://sudact.ru/regular/doc/r6IZzLpOZv18/,https://sudact.ru/regular/doc/r6IZzLpOZv18,sudact.ru,data/ddu/raw_acts/act_r6IZzLpOZv18.txt,c75c086b4a377a712dfdbe073e0f50f56d66970212c308ec3aee0e83fd9038dc,true,true,complete,hold,false,general_jurisdiction,,,,,,ddu_non_target_hold,hold
rkAgSYTNrLLC,https://sudact.ru/regular/doc/rkAgSYTNrLLC/,https://sudact.ru/regular/doc/rkAgSYTNrLLC,sudact.ru,data/ddu/raw_acts/act_rkAgSYTNrLLC.txt,c9bdf8b7615aeabb9895b7d7c18b610d00a6cb4da8ccea3f14d6ff1287c84ff1,true,true,complete,hold,false,general_jurisdiction,,,,2-2357/2025,,ddu_manual_review_hold,hold
tA4I3C4izbUw,https://sudact.ru/regular/doc/tA4I3C4izbUw/,https://sudact.ru/regular/doc/tA4I3C4izbUw,sudact.ru,data/ddu/raw_acts/act_tA4I3C4izbUw.txt,eaaae613857f24374149202074c162506a97db1a1279afb1b6957418684bbde8,true,true,complete,hold,false,general_jurisdiction,,,,,,ddu_non_target_hold,hold
tinoecNo5fZJ,https://sudact.ru/regular/doc/tinoecNo5fZJ/,https://sudact.ru/regular/doc/tinoecNo5fZJ,sudact.ru,data/ddu/raw_acts/act_tinoecNo5fZJ.txt,8f471bc821a9c102c85ebe344c6ab01b19a864c5fbc11da7d01f8a7fd4bae127,true,true,complete,hold,false,general_jurisdiction,,,,,,ddu_non_target_hold,hold
tqP0gCC47eLa,https://sudact.ru/regular/doc/tqP0gCC47eLa/,https://sudact.ru/regular/doc/tqP0gCC47eLa,sudact.ru,data/ddu/raw_acts/act_tqP0gCC47eLa.txt,f9a311f43111840aea64e8379cdf00051bf2b407d585131bac3373a67695ea9a,true,true,complete,hold,false,general_jurisdiction,,,,,,ddu_non_target_hold,hold
uJ7eANaEGv1B,https://sudact.ru/regular/doc/uJ7eANaEGv1B/,https://sudact.ru/regular/doc/uJ7eANaEGv1B,sudact.ru,data/ddu/raw_acts/act_uJ7eANaEGv1B.txt,bc0db73fbef2580cc84e184a036f4cc7c7de7d5d0c24e6b8dd16305fbe292cba,true,true,complete,hold,false,general_jurisdiction,,,,,,ddu_non_target_hold,hold
v8fYlftGBN6E,https://sudact.ru/regular/doc/v8fYlftGBN6E/,https://sudact.ru/regular/doc/v8fYlftGBN6E,sudact.ru,data/ddu/raw_acts/act_v8fYlftGBN6E.txt,0134a90c31f2fb9f149e89a8512f17c9211a856267eeacec1f337a47f6fc1508,true,true,complete,index,true,general_jurisdiction,district,Хабаровский край,Индустриальный районный суд г. Хабаровска,2-7041/2024,2024-12-25,ddu_escrow_dispute,penalty;moral_damage;consumer_fine;compel_transfer
vCIIP5SwATby,https://sudact.ru/regular/doc/vCIIP5SwATby/,https://sudact.ru/regular/doc/vCIIP5SwATby,sudact.ru,data/ddu/raw_acts/act_vCIIP5SwATby.txt,4a0e74e2282ae951b9dbc80cc7033ea6ba82be9b77773eca7b2436670e81240c,true,true,complete,hold,false,general_jurisdiction,,,,,,ddu_non_target_hold,hold
vQ7sBA90ldbr,https://sudact.ru/regular/doc/vQ7sBA90ldbr/,https://sudact.ru/regular/doc/vQ7sBA90ldbr,sudact.ru,data/ddu/raw_acts/act_vQ7sBA90ldbr.txt,9ee86c44df27a807462c1d59799ca36fe5cec7026026d623680efd9968e714d4,true,true,complete,hold,false,general_jurisdiction,,,,2-1090/2025,2025-12-29,ddu_manual_review_hold,hold
vcxfeE9NN11A,https://sudact.ru/regular/doc/vcxfeE9NN11A/,https://sudact.ru/regular/doc/vcxfeE9NN11A,sudact.ru,data/ddu/raw_acts/act_vcxfeE9NN11A.txt,f76a5ba6f2ce625dcd796b984027393fdff4948d15e8ac19bafff100fc47ff43,true,true,complete,hold,false,general_jurisdiction,,,,,,ddu_non_target_hold,hold
vx8xdmtSBDZT,https://sudact.ru/regular/doc/vx8xdmtSBDZT/,https://sudact.ru/regular/doc/vx8xdmtSBDZT,sudact.ru,data/ddu/raw_acts/act_vx8xdmtSBDZT.txt,832bdc3491be4bdc957c7b244bb1bd9ad666074f258a119ba61ea545b5a13dd8,true,true,complete,hold,false,general_jurisdiction,,,,,,ddu_non_target_hold,hold
xfBBJLmJ9NoV,https://sudact.ru/regular/doc/xfBBJLmJ9NoV/,https://sudact.ru/regular/doc/xfBBJLmJ9NoV,sudact.ru,data/ddu/raw_acts/act_xfBBJLmJ9NoV.txt,f6cb38154b6e35c01f4fb1bb1574ac486145cde3566ef102b685ab2586e85a94,true,true,complete,hold,false,general_jurisdiction,,,,,,ddu_non_target_hold,hold
yr7KTr1mSDmV,https://sudact.ru/regular/doc/yr7KTr1mSDmV/,https://sudact.ru/regular/doc/yr7KTr1mSDmV,sudact.ru,data/ddu/raw_acts/act_yr7KTr1mSDmV.txt,aefccc17e0b34d5df573391a24688a73dbe4eb5b6a34c3cd0ce2c96f25c340cf,true,true,complete,hold,false,general_jurisdiction,,,,,,ddu_non_target_hold,hold
zA2CdHcCVNVg,https://sudact.ru/regular/doc/zA2CdHcCVNVg/,https://sudact.ru/regular/doc/zA2CdHcCVNVg,sudact.ru,data/ddu/raw_acts/act_zA2CdHcCVNVg.txt,706553099098522bbae6281e98601c8462b5e94ff99cd4c29c52b8369ff3ca75,true,true,complete,hold,false,general_jurisdiction,,,,,,ddu_non_target_hold,hold
