docid,source_url,status,raw_act_path,raw_text_sha256,note
hYbUa7Urh3W5,,fetched,D:\YandexDisk\Legal-projects\zpp-consult\data\raw_acts\act_hYbUa7Urh3W5.txt,97d66d7e8d12b1ac5742a78a13ed2504af5cfaac8a90d461199ad548655b92a2,art29_remont
hrW58hVf9XV0,,fetched,D:\YandexDisk\Legal-projects\zpp-consult\data\raw_acts\act_hrW58hVf9XV0.txt,6873fe75a8ac6220eb665059bf704a2c767315c6919b828348736f3858dbb876,"art10_12_info,art29_mebel"
lbZPxqLTQJro,,fetched,D:\YandexDisk\Legal-projects\zpp-consult\data\raw_acts\act_lbZPxqLTQJro.txt,c6dd5abda0e1f5267dd9c18562fd31dde6cc1346d01f7cdcf6a5b98aa9ba6a13,"art23_1_prepaid,art26_1_distance,art28_delay"
nUaFwGkUmRHj,,fetched,D:\YandexDisk\Legal-projects\zpp-consult\data\raw_acts\act_nUaFwGkUmRHj.txt,d578ce86dc9e8097fd057820d167c4d3943d99539ec0125accfc5497b26a0e94,"art26_1_distance,art29_remont"
oakTTFmKQb5J,,fetched,D:\YandexDisk\Legal-projects\zpp-consult\data\raw_acts\act_oakTTFmKQb5J.txt,32e271721305a4cb1c96870b58524d036d2eb02056df91301adfcdbdd25d4546,art28_delay
qZ12yS80Ff1v,,fetched,D:\YandexDisk\Legal-projects\zpp-consult\data\raw_acts\act_qZ12yS80Ff1v.txt,53acdc463d97a3c6c8089e2d8c81cb1ad3fcd72f560388559eee8bb456a2e86d,art29_mebel
tGHVr2Rx78ry,,fetched,D:\YandexDisk\Legal-projects\zpp-consult\data\raw_acts\act_tGHVr2Rx78ry.txt,5df037d79289c01c715c434125f08259de289ae7d4d4f20a8783c614663f00d7,art29_remont
tGOym2Rdgd5r,,fetched,D:\YandexDisk\Legal-projects\zpp-consult\data\raw_acts\act_tGOym2Rdgd5r.txt,f95c29e7dff2b5c467755d92fa78907ec384adda3883deb2d5780dfef8db8b6c,art28_delay
tHGO8gaGWwxe,,fetched,D:\YandexDisk\Legal-projects\zpp-consult\data\raw_acts\act_tHGO8gaGWwxe.txt,1dca7be778938759e2505eef4b26809cd1a874c3d7a87b6a145a4c5a6ed0f0e4,art29_mebel
tWUT3r5luHoq,,fetched,D:\YandexDisk\Legal-projects\zpp-consult\data\raw_acts\act_tWUT3r5luHoq.txt,1faab1dbb0b9ee3bf174c82cd89a78ccf19db845e29c36298f2c2188adc33c0f,"art29_mebel,art29_okna"
uBSNUUmLfvNx,,fetched,D:\YandexDisk\Legal-projects\zpp-consult\data\raw_acts\act_uBSNUUmLfvNx.txt,83ae863cce6a1a22567e9f56491270a10e584062ea6160e108007790d41ebbe2,art29_okna
uNnAL7AINnmK,,fetched,D:\YandexDisk\Legal-projects\zpp-consult\data\raw_acts\act_uNnAL7AINnmK.txt,4f083611e25900b080333bfbbbba86f45cf78c56d796133084acbd56a1cefacf,art29_remont
wAK9HEDeFtbb,,fetched,D:\YandexDisk\Legal-projects\zpp-consult\data\raw_acts\act_wAK9HEDeFtbb.txt,86992cdcc57f041a6bf3e9357b63adb85d066574d3ae0052442a4c5b06903588,art29_okna
xFynck7nm1gW,,fetched,D:\YandexDisk\Legal-projects\zpp-consult\data\raw_acts\act_xFynck7nm1gW.txt,3bccaefc336ea6abcd2ace13dc63bc92e5747cd75463a362b1f3c36f5bfac216,art28_delay
xaPFd5m1V86i,,fetched,D:\YandexDisk\Legal-projects\zpp-consult\data\raw_acts\act_xaPFd5m1V86i.txt,b21f6c0802a09490eb96afd72e585a98710d1824b0d77566cc8953bfa3459346,art28_delay
xqYAVqrmG6oO,,fetched,D:\YandexDisk\Legal-projects\zpp-consult\data\raw_acts\act_xqYAVqrmG6oO.txt,38e6b049cdd8f8d682114e4783c4f0955156f94d525b1c8f5b8122fafcd7f282,art28_delay
ygH0ZmEWXtK,,fetched,D:\YandexDisk\Legal-projects\zpp-consult\data\raw_acts\act_ygH0ZmEWXtK.txt,a763412cac4162f5cbc9d6444f9de77ec4dd9633abd5debde3c134df4c70cff9,art29_mebel
ypdiIjtZacHr,,fetched,D:\YandexDisk\Legal-projects\zpp-consult\data\raw_acts\act_ypdiIjtZacHr.txt,bcd4a28c0f8a631c1e145500e072d5e936e9e8737f6fb7b7f30519bba376044c,"art29_okna,art29_remont"
z78ERmxhRjxq,,fetched,D:\YandexDisk\Legal-projects\zpp-consult\data\raw_acts\act_z78ERmxhRjxq.txt,fe056e594f21943b7c277f379d9fde9c3c55b603751035de763af3759753dfd2,art28_delay
zJyif1zBXuHu,,fetched,D:\YandexDisk\Legal-projects\zpp-consult\data\raw_acts\act_zJyif1zBXuHu.txt,09854f0ce25b953bc71514f39e09ab4ac148311bba71f36caa25809034c1052e,art29_mebel
zfvhZ7h0qIxW,,fetched,D:\YandexDisk\Legal-projects\zpp-consult\data\raw_acts\act_zfvhZ7h0qIxW.txt,d682e51fc5fa2cff90b0c853158e882bf355a4d3452f8333892710da8fea4c6b,art29_remont
zhmojGgAwwrx,,fetched,D:\YandexDisk\Legal-projects\zpp-consult\data\raw_acts\act_zhmojGgAwwrx.txt,b7683c442b21f43e225f247832a2498e335f6cee3413421dc6f07ca048c87fc6,art29_remont
3upYOEUsOC6X,,fetched,D:\YandexDisk\Legal-projects\zpp-consult\data\raw_acts\act_3upYOEUsOC6X.txt,5b44704da0fd00262e8756e309892bfc9d725c27044e6d37e6c925b51fb9c659,art23_1_prepaid
A9DmPtvwhmrK,,fetched,D:\YandexDisk\Legal-projects\zpp-consult\data\raw_acts\act_A9DmPtvwhmrK.txt,1c997e230f033057265d0f2136edac85eae2b3d2c94e72c2df70ab56ecd8d889,art23_1_prepaid
NOXVZP9ifzoS,,fetched,D:\YandexDisk\Legal-projects\zpp-consult\data\raw_acts\act_NOXVZP9ifzoS.txt,df0b6ab51e0d714751eb609c786bf129085f9493b2d8a5fc3b982e75e4356bb8,art23_1_prepaid
Pp6bfruXoRrw,,fetched,D:\YandexDisk\Legal-projects\zpp-consult\data\raw_acts\act_Pp6bfruXoRrw.txt,61d2acecb88108c81e2081bac91ac1826ebd7c67081d426868af54b3762fcf00,"art23_1_prepaid,art26_1_distance"
Sc6rzP15X355,,fetched,D:\YandexDisk\Legal-projects\zpp-consult\data\raw_acts\act_Sc6rzP15X355.txt,7d479020e08bef7fde6a93a4ff88a0ee8eb247611eadcd183ef42028e2b70af1,art23_1_prepaid
ZPPMKmYhEXYQ,,fetched,D:\YandexDisk\Legal-projects\zpp-consult\data\raw_acts\act_ZPPMKmYhEXYQ.txt,a46afac0a1bbbfaaeb21b7b0e3047f162b71144ca441aa89343f47dae980f605,art23_1_prepaid
a9CAweL5gwWP,,fetched,D:\YandexDisk\Legal-projects\zpp-consult\data\raw_acts\act_a9CAweL5gwWP.txt,1c3852a88c89168f3574a20c86e30ad9f064b82bf80ce665662f2324f3a4da70,art23_1_prepaid
c7aHcUwzLKZI,,fetched,D:\YandexDisk\Legal-projects\zpp-consult\data\raw_acts\act_c7aHcUwzLKZI.txt,b28bf4b3bbb907963034af3f7f5cf984acafe811ba5a144f582524b46d6f3207,art23_1_prepaid
fej8tAz2p8NP,,fetched,D:\YandexDisk\Legal-projects\zpp-consult\data\raw_acts\act_fej8tAz2p8NP.txt,7b0901aab89240ec8b7e2b83d41166113f84a8533822048224a2188f63d798a9,art23_1_prepaid
g2mB62RIjp6Q,,fetched,D:\YandexDisk\Legal-projects\zpp-consult\data\raw_acts\act_g2mB62RIjp6Q.txt,f52f20f6ccad3193859ce9d2774c19e4829dec41e38c7c000056dfe56af3da37,art23_1_prepaid
jxrhPThJ8fL4,,fetched,D:\YandexDisk\Legal-projects\zpp-consult\data\raw_acts\act_jxrhPThJ8fL4.txt,f7dad69428fc2af380fad797bd5e4dab38d7978d8631d167d75f0d046ec8188d,art23_1_prepaid
qhVLhQxpwYYw,,fetched,D:\YandexDisk\Legal-projects\zpp-consult\data\raw_acts\act_qhVLhQxpwYYw.txt,afd983baed1f368b81539747497d77ab9c6f3dd2f42fa3922a2cbab49166f7a4,art23_1_prepaid
uhug73HSdyYX,,fetched,D:\YandexDisk\Legal-projects\zpp-consult\data\raw_acts\act_uhug73HSdyYX.txt,e67a9d19063d737e58a85ba0ed102d7b6491e53a0b0a9bae635bfbca027e868a,art23_1_prepaid
